Date,Event,Category,Description
1990-08-02,Gulf War,Geopolitical,Iraq invasion of Kuwait affected oil supply concerns
2001-09-11,9/11 Attacks,Geopolitical,Global uncertainty impacted oil markets
2003-03-20,Iraq War,Geopolitical,War increased supply risk
2008-09-15,Financial Crisis,Economic,Global demand collapse caused oil decline
2011-01-25,Arab Spring,Geopolitical,Middle East instability affected prices
2014-06-01,Oil Price Crash,Market,OPEC maintained production leading to oversupply
2016-11-30,OPEC Production Cut,Policy,OPEC agreed to reduce output
2020-03-01,COVID-19 Pandemic,Health,Global demand shock
2020-04-20,Oil Price Collapse,Market,Historic demand collapse
2022-02-24,Russia Ukraine War,Geopolitical,Energy supply disruption
2023-10-07,Middle East Conflict,Geopolitical,Regional uncertainty affected markets
